original_idx,predicted_class,probability_default,samples_used,final_r2,convergence_reason,execution_time_sec,used_slm,top_features,arbiter_responses_json,slm_explanation
30745,Adimplente,0.004519,6400,0.077163,max_samples_reached,0.281,True,person_home_ownership=2: -0.2582; loan_grade=1: -0.0937; loan_intent=1: -0.0657; 10.99 < loan_int_rate <= 13.48: 0.0387; loan_percent_income <= 0.09: -0.0326,,"Olá, você foi avaliado como adimplente pelo nosso sistema, o que significa que temos confiança em sua capacidade de honrar suas obrigações financeiras. Isso é uma ótima notícia! No entanto, alguns fatores específicos influenciaram essa decisão. A sua moradia atual, por exemplo, pode ter um impacto negativo, pois moradias mais instáveis geralmente indicam um maior risco de inadimplência. Além disso, a finalidade do seu empréstimo e a classificação do seu empréstimo anterior também contribuíram para essa decisão. Mas não se preocupe, a taxa de juros favorável e a proporção do empréstimo em relação à sua renda ajudaram a equilibrar esses fatores, tornando a sua situação financeira mais estável."
25507,Adimplente,0.000662,6400,0.154711,max_samples_reached,0.3099,True,person_home_ownership=2: -0.2534; person_income > 80000.00: -0.1546; loan_intent=5: -0.1263; loan_amnt > 12250.00: 0.1108; 0.15 < loan_percent_income <= 0.23: -0.1031,,"A sua decisão de crédito foi avaliada como adimplente, o que é ótimo! No entanto, é importante considerar alguns fatores que influenciaram essa decisão. O tipo de moradia que você possui tende a prejudicar a adimplência, assim como a finalidade do empréstimo e a proporção do empréstimo em relação à sua renda. Além disso, a sua renda também contribui para um pouco de incerteza. No entanto, o valor do empréstimo que você está solicitando tende a favorecer a adimplência. Com esses fatores em consideração, a probabilidade de você manter uma boa relação com o banco é de 99,9%, o que é muito alto. Continue assim e continue a nos surpreender com sua responsabilidade!"
31424,Adimplente,0.000752,6400,0.114254,max_samples_reached,0.3191,True,person_income > 80000.00: -0.1689; person_home_ownership=0: -0.1152; loan_grade=0: -0.0965; loan_int_rate <= 7.90: -0.0775; loan_intent=1: -0.0616,,"Olá! O sistema avaliou sua situação financeira e decidiu que você é adimplente. Isso significa que temos uma probabilidade muito alta de que você pagará suas dívidas em tempo. No entanto, alguns fatores como sua renda, tipo de moradia, classificação do empréstimo, taxa de juros e finalidade do empréstimo contribuíram um pouco para essa decisão, indicando que eles poderiam influenciar em potenciais dificuldades de pagamento. Mas não se preocupe, esses fatores são moderados e levemente negativos, e não alteram significativamente a sua classificação de adimplência. Continue gerenciando bem suas finanças e mantenha-se atento a esses aspectos para manter sua classificação ainda melhor."
27780,Adimplente,0.001449,6400,0.144248,max_samples_reached,0.339,True,person_income > 80000.00: -0.1698; loan_intent=5: -0.1361; person_home_ownership=0: -0.1262; loan_amnt > 12250.00: 0.0986; loan_grade=1: -0.0881,,"Olá! O sistema analisou sua situação e decidiu que você é adimplente. Isso significa que a probabilidade de você não pagar suas dívidas é muito baixa, apenas 0,1%. No entanto, alguns fatores como sua renda, a finalidade do empréstimo e o tipo de moradia podem estar influenciando um pouco negativamente. Mas felizmente, o valor do empréstimo que você está solicitando e sua classificação de crédito estão ajudando positivamente. Com esses pontos em consideração, o sistema acredita que você tem uma boa chance de manter sua adimplência. Continue assim e mantenha seu bom comportamento financeiro!"
21511,Adimplente,0.093852,3200,0.146194,semantic_converged,5.0238,True,person_home_ownership=3: 0.1855; person_income <= 39300.00: 0.1572; 0.15 < loan_percent_income <= 0.23: -0.0985; 5000.00 < loan_amnt <= 8000.00: -0.0571; person_emp_length <= 2.00: 0.0464,"[{""samples"": 3200, ""reason"": ""As top-3 features são as mesmas e têm sinais iguais nas duas explicações"", ""raw_response"": ""{\""converged\"": true, \""reason\"": \""As top-3 features são as mesmas e têm sinais iguais nas duas explicações\"", \""top_features_match\"": true, \""direction_match\"": true, \""confidence\"": 0.85}"", ""confidence"": 0.85}]","Olá, você foi avaliado como adimplente pelo nosso sistema, o que significa que temos confiança em sua capacidade de honrar suas obrigações financeiras. Isso é uma boa notícia! Alguns fatores que contribuíram para essa decisão positiva incluem o tipo de moradia que você possui, que parece favorável à sua situação financeira, e sua renda, que também tem um efeito positivo. No entanto, o valor do empréstimo que você solicitou e a proporção em relação à sua renda são considerados levemente desafiadores, mas ainda assim, o tempo de emprego que você tem tem um efeito positivo, ajudando a equilibrar essas considerações. Com esses pontos em mente, estamos confiantes que você poderá gerenciar bem suas obrigações financeiras."
16415,Adimplente,0.075458,6400,0.137753,max_samples_reached,0.3093,True,person_income > 80000.00: -0.1690; person_home_ownership=0: -0.1138; 0.15 < loan_percent_income <= 0.23: -0.1028; loan_amnt > 12250.00: 0.0992; loan_grade=0: -0.0926,,"Olá! O sistema analisou sua situação e decidiu que você é adimplente, com uma probabilidade de 92,5% de manter suas parcelas em dia. Entretanto, alguns fatores contribuíram para uma decisão um pouco mais cautelosa. Sua renda, tipo de moradia e a proporção do empréstimo em relação à renda foram considerados moderadamente desfavoráveis, o que pode indicar um pouco mais de risco. No entanto, o valor do empréstimo foi considerado um fator positivo, pois é relativamente baixo em comparação com sua renda. Além disso, a classificação do seu empréstimo também foi um fator levemente desfavorável. Apesar disso, o sistema ainda acredita que você tem uma boa chance de manter tudo em dia. Se precisar de ajuda para melhorar essas áreas, estamos aqui para oferecer suporte."
14038,Adimplente,0.000517,3200,0.119949,semantic_converged,4.4541,True,person_income > 80000.00: -0.1579; loan_intent=5: -0.1425; person_home_ownership=0: -0.1030; 0.09 < loan_percent_income <= 0.15: -0.0855; loan_grade=1: -0.0595,"[{""samples"": 3200, ""reason"": ""As top-3 features e os sinais são iguais e a conclusão é equivalente"", ""raw_response"": ""{\""converged\"": true, \""reason\"": \""As top-3 features e os sinais são iguais e a conclusão é equivalente\"", \""top_features_match\"": true, \""direction_match\"": true, \""confidence\"": 0.9}"", ""confidence"": 0.9}]","A sua decisão de crédito foi avaliada como adimplente, o que é ótimo! Isso significa que, com base nas informações que temos, a probabilidade de você ter dificuldades em pagar suas parcelas é muito baixa, apenas 0,1%. No entanto, alguns fatores como a renda, a finalidade do empréstimo e o tipo de moradia, que são considerados moderadamente influentes, podem ter afetado positivamente a sua nota. Além disso, a proporção do empréstimo em relação à sua renda e a classificação do empréstimo também tiveram um leve impacto, mas de forma geral, tudo indicou que você é um bom candidato para receber o empréstimo. Continue assim e mantenha-se atento às suas finanças para manter essa boa classificação!"
13358,Adimplente,0.000363,800,0.144493,semantic_converged,4.5611,True,person_home_ownership=2: -0.2236; loan_intent=2: 0.1777; person_income > 80000.00: -0.1721; 0.09 < loan_percent_income <= 0.15: -0.1009; loan_grade=0: -0.0892,"[{""samples"": 800, ""reason"": ""As top-3 features e os sinais são iguais nas duas explicações, e a conclusão geral é equivalente"", ""raw_response"": ""{\""converged\"": true, \""reason\"": \""As top-3 features e os sinais são iguais nas duas explicações, e a conclusão geral é equivalente\"", \""top_features_match\"": true, \""direction_match\"": true, \""confidence\"": 0.85}"", ""confidence"": 0.85}]","Olá, você foi avaliado como adimplente pelo nosso sistema, o que significa que temos uma confiança alta de que você pagará suas dívidas em tempo. Isso é uma ótima notícia! No entanto, alguns fatores influenciaram nossa decisão. O tipo de moradia que você tem pode ser um desafio para a adimplência, mas a finalidade do seu empréstimo pode ajudar a melhorar essa situação. Além disso, sua renda e a proporção do empréstimo em relação a ela também contribuíram para isso, embora de maneira negativa. Infelizmente, a classificação do seu empréstimo também tenha um leve impacto negativo. Mesmo assim, com esses fatores em consideração, você ainda foi classificado como adimplente, o que mostra que temos confiança em sua capacidade de manter suas finanças em ordem. Continue assim e manteremos uma boa relação financeira!"
15767,Adimplente,0.019577,6400,0.093654,semantic_converged,3.8189,True,person_income > 80000.00: -0.1464; person_home_ownership=0: -0.1066; loan_amnt > 12250.00: 0.0967; loan_grade=1: -0.0780; loan_percent_income <= 0.09: -0.0411,"[{""samples"": 6400, ""reason"": ""As top-3 features, sinais e conclusão são consistentes nas duas explicações."", ""raw_response"": ""{\""converged\"": true, \""reason\"": \""As top-3 features, sinais e conclusão são consistentes nas duas explicações.\"", \""top_features_match\"": true, \""direction_match\"": true, \""confidence\"": 0.9}"", ""confidence"": 0.9}]","Olá! O sistema analisou sua situação financeira e decidiu que você é adimplente. Isso significa que temos confiança em sua capacidade de pagar suas dívidas em tempo. No entanto, alguns fatores como sua renda e o tipo de moradia podem estar influenciando um pouco negativamente. Mas a boa notícia é que o valor do empréstimo que você está solicitando e sua classificação de crédito estão ajudando a melhorar a situação. Além disso, a proporção do empréstimo em relação à sua renda também está contribuindo, mas de forma moderada. Com esses pontos em consideração, a probabilidade de você manter essa adimplência é de 98%. Continue assim, e vamos garantir que essa decisão seja positiva para você!"
13721,Adimplente,0.031425,1600,0.181274,semantic_converged,3.648,True,person_income > 80000.00: -0.1939; person_home_ownership=3: 0.1672; loan_amnt > 12250.00: 0.1147; loan_grade=1: -0.0944; 0.09 < loan_percent_income <= 0.15: -0.0902,"[{""samples"": 1600, ""reason"": ""As top-3 features e os sinais são iguais e a conclusão é equivalente"", ""raw_response"": ""{\""converged\"": true, \""reason\"": \""As top-3 features e os sinais são iguais e a conclusão é equivalente\"", \""top_features_match\"": true, \""direction_match\"": true, \""confidence\"": 0.9}"", ""confidence"": 0.9}]","Olá! O sistema avaliou sua situação financeira e decidiu que você é adimplente. Isso significa que temos confiança de que você pagará suas dívidas em tempo. A probabilidade de você ter problemas para pagar é muito baixa, apenas 3,1%. Isso é ótimo! No entanto, algumas coisas influenciaram essa decisão. Sua renda, embora moderada, pode ser um desafio para manter a adimplência. Mas a natureza do seu imóvel e o valor do empréstimo trabalham a seu favor, tornando a situação mais positiva. Além disso, as dívidas que você já tem parecem ser um pouco maiores em relação à sua renda, o que pode ser um indicador de que você está se esforçando para manter tudo em ordem. Com esses pontos em mente, temos uma visão geral positiva de sua capacidade de pagar suas dívidas. Continue assim e mantenha-se atento às suas finanças para manter essa classificação adimplente."
